meal,category,calories,protein,fat,carbs,amount,price
baked potato,sidedish,124,2.3,3.2,19.5,280,0.9
boiled rice,sidedish,206,4.47,4.33,38.6,190,0.6
american potatoes,sidedish,143,2.55,4.09,24.02,220,1.3
fried cauliflower,main dish,256,6.5,14.1,24.1,170,2.8
fried chicken,main dish,369,21.9,18.3,28.7,180,2.6
grilled salmon,main dish,175,25.4,8.1,0.0,120,4.0
leek soup with potatoes,soup,38,0.87,1.63,5.8,350,0.6
tomato soup,soup,45,0.68,1.53,7.7,350,0.7
chicken soup,soup,25,2.2,1.04,1.69,350,0.6
banana,dessert,90,1.2,0.24,19.8,120,0.25
apple,dessert,49,0.37,0.4,9.9,130,0.2
orange,dessert,43,0.92,0.22,7.9,240,0.6
